resolution_time,event_number,issue_length,participant_number,entropy,project_name,core_issue,normal_issue,core_assign,core_label,core_subscribe,before_average_time,slice_average_time
38.7111639,8.014251781,16.07553444,4.633729216,1.825848607,microsoft/vscode,1.441805226,0.275059382,1.532066508,3.787648456,0.719239905,140.3190232,62.17974556
39.90186916,11.94392523,29.88785047,6.570093458,2.006083789,microsoft/vscode,3.509345794,3.73364486,1.990654206,4.985981308,2.130841121,140.3190232,62.17974556
34.5309973,8.544474394,19.56873315,5.071428571,1.839355455,microsoft/vscode,2.204851752,2.614555256,1.056603774,3.082210243,1.733153639,140.3190232,62.17974556
36.43939394,6.903679654,14.44155844,3.863636364,1.924470009,microsoft/vscode,1.682900433,0.678571429,1.491341991,4.126623377,0.537878788,140.3190232,62.17974556
3.933333333,7.119298246,19.5754386,4.642105263,1.691734416,microsoft/vscode,3.814035088,0.575438596,2.242105263,2.961403509,5.2,136.3420125,35.13315998
1.461538462,6.034965035,10.04895105,3.727272727,1.607374014,microsoft/vscode,0.867132867,0.51048951,2.622377622,1.846153846,0.06993007,136.3420125,35.13315998
3.064,6.464,13.944,3.768,1.675384786,microsoft/vscode,3.08,0.432,1.512,4.216,0.32,136.3420125,35.13315998
3.448630137,6.996575342,13.28767123,3.928082192,1.563852893,microsoft/vscode,1.229452055,0.099315068,1.383561644,3.178082192,0.506849315,136.3420125,35.13315998
3.561904762,7.571428571,15.72380952,4.228571429,1.639132533,microsoft/vscode,2.019047619,2.361904762,1.161904762,2.447619048,1.380952381,136.3420125,35.13315998
2.543103448,6.344827586,10.68965517,3.922413793,1.563500789,microsoft/vscode,1.887931034,1.413793103,0.456896552,2.172413793,0.551724138,136.3420125,35.13315998
2.3,5.127777778,8.966666667,2.927777778,1.515309123,microsoft/vscode,0.833333333,0.333333333,1.277777778,3.066666667,0.644444444,136.3420125,35.13315998
1646.408696,9.860869565,23.72608696,6.767391304,1.838714877,flutter/flutter,5.293478261,1.186956522,0.665217391,3.104347826,4.57826087,1672.391691,1639.908475
1669.426768,7.782828283,12.00757576,4.015151515,1.706865296,flutter/flutter,1.570707071,0.305555556,0.563131313,2.856060606,0.272727273,1672.391691,1639.908475
1572.054863,8.648379052,23.30174564,6.55361596,1.770027023,flutter/flutter,3.386533666,0.678304239,0.765586035,5.329177057,1.461346633,1672.391691,1639.908475
1540.189072,9.614917606,26.2567216,7.644405898,1.829623,flutter/flutter,5.502168257,1.726799653,0.635732871,3.945359931,4.859496964,1644.757639,1657.057243
1542.297391,8.092173913,16.58434783,5.544347826,1.847070922,flutter/flutter,2.528695652,0.626086957,0.467826087,4.048695652,0.386086957,1644.757639,1657.057243
1449.063084,9.601635514,27.50817757,7.785046729,1.821767657,flutter/flutter,5.88317757,2.177570093,0.644859813,4.185747664,5.091121495,1595.705384,1540.890625
1390.776298,7.641810919,16.873502,5.681757656,1.769216601,flutter/flutter,1.986684421,0.644474035,0.430093209,4.744340879,0.80159787,1595.705384,1540.890625
1334.733108,9.023648649,24.16554054,6.75,1.737122132,flutter/flutter,4.77027027,0.597972973,0.662162162,5.341216216,4.587837838,1542.642803,1421.823895
